ID,Symbol,Security,Wikipedia_URL,Cluster
333,NFLX,Netflix,"https://en.wikipedia.org/wiki/Netflix,_Inc.",-1
334,NEM,Newmont,https://en.wikipedia.org/wiki/Newmont,0
335,NWSA,News Corp (Class A),https://en.wikipedia.org/wiki/News_Corp,19
336,NWS,News Corp (Class B),https://en.wikipedia.org/wiki/News_Corp,19
337,NEE,NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy,2
338,NKE,"Nike, Inc.","https://en.wikipedia.org/wiki/Nike,_Inc.",-1
339,NI,NiSource,https://en.wikipedia.org/wiki/NiSource,2
340,NDSN,Nordson Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation,30
341,NSC,Norfolk Southern,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,-1
342,NTRS,Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust,24
343,NOC,Northrop Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman,16
344,NCLH,Norwegian Cruise Line Holdings,https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings,21
345,NRG,NRG Energy,https://en.wikipedia.org/wiki/NRG_Energy,2
346,NUE,Nucor,https://en.wikipedia.org/wiki/Nucor,0
347,NVDA,Nvidia,https://en.wikipedia.org/wiki/Nvidia,-1
348,NVR,"NVR, Inc.","https://en.wikipedia.org/wiki/NVR,_Inc.",-1
349,NXPI,NXP Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors,30
350,ORLY,O’Reilly Automotive,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts,12
351,OXY,Occidental Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum,2
352,ODFL,Old Dominion,https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line,17
353,OMC,Omnicom Group,https://en.wikipedia.org/wiki/Omnicom_Group,21
354,ON,ON Semiconductor,https://en.wikipedia.org/wiki/Onsemi,30
355,OKE,Oneok,https://en.wikipedia.org/wiki/Oneok,2
356,ORCL,Oracle Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation,-1
357,OTIS,Otis Worldwide,https://en.wikipedia.org/wiki/Otis_Worldwide,11
358,PCAR,Paccar,https://en.wikipedia.org/wiki/Paccar,15
359,PKG,Packaging Corporation of America,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America,7
360,PLTR,Palantir Technologies,https://en.wikipedia.org/wiki/Palantir_Technologies,26
361,PANW,Palo Alto Networks,https://en.wikipedia.org/wiki/Palo_Alto_Networks,32
362,PSKY,Paramount Skydance Corporation,https://en.wikipedia.org/wiki/Paramount_Skydance,19
363,PH,Parker Hannifin,https://en.wikipedia.org/wiki/Parker_Hannifin,15
364,PAYX,Paychex,https://en.wikipedia.org/wiki/Paychex,23
365,PAYC,Paycom,https://en.wikipedia.org/wiki/Paycom,23
366,PYPL,PayPal,https://en.wikipedia.org/wiki/PayPal,23
367,PNR,Pentair,https://en.wikipedia.org/wiki/Pentair,15
368,PEP,PepsiCo,https://en.wikipedia.org/wiki/PepsiCo,9
369,PFE,Pfizer,https://en.wikipedia.org/wiki/Pfizer,20
370,PCG,PG&E Corporation,https://en.wikipedia.org/wiki/PG%26E,2
371,PM,Philip Morris International,https://en.wikipedia.org/wiki/Philip_Morris_International,8
372,PSX,Phillips 66,https://en.wikipedia.org/wiki/Phillips_66,2
373,PNW,Pinnacle West Capital,https://en.wikipedia.org/wiki/Pinnacle_West_Capital,2
374,PNC,PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services,24
