ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
261,IRM,Iron Mountain,https://en.wikipedia.org/wiki/Iron_Mountain_(company),4,3.1435335,1.8888495
262,JBHT,J.B. Hunt,https://en.wikipedia.org/wiki/J.B._Hunt,-1,2.354871,4.530572
263,JBL,Jabil,https://en.wikipedia.org/wiki/Jabil,-1,1.4333761,1.9088744
264,JKHY,Jack Henry & Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates,-1,1.7316478,5.514698
265,J,Jacobs Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions,-1,1.880191,2.463192
266,JNJ,Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,-1,2.1594076,2.662063
267,JCI,Johnson Controls,https://en.wikipedia.org/wiki/Johnson_Controls,-1,2.111386,2.2527413
268,JPM,JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,14,1.5282601,7.0737767
269,K,Kellanova,https://en.wikipedia.org/wiki/Kellanova,2,3.6912107,3.4036322
270,KVUE,Kenvue,https://en.wikipedia.org/wiki/Kenvue,9,2.5826867,0.5623917
271,KDP,Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,1,4.432038,3.9247596
272,KEY,KeyCorp,https://en.wikipedia.org/wiki/KeyCorp,14,2.0951066,7.4535484
273,KEYS,Keysight Technologies,https://en.wikipedia.org/wiki/Keysight_Technologies,-1,0.8514861,0.7902696
274,KMB,Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark,7,3.8256536,3.035604
275,KIM,Kimco Realty,https://en.wikipedia.org/wiki/Kimco_Realty,6,-0.39553323,6.3906283
276,KMI,Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan,12,5.8011384,2.2569532
277,KKR,KKR & Co.,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts,16,1.3790983,5.8177013
278,KLAC,KLA Corporation,https://en.wikipedia.org/wiki/KLA_Corporation,-1,0.40513507,0.7484156
279,KHC,Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz,2,3.7066197,3.8376372
280,KR,Kroger,https://en.wikipedia.org/wiki/Kroger,0,2.3401635,4.2106547
